processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
BROMB766-07	1B-1074	555877		1B-1074	Royal Ontario Museum		BOLD:AAC5854	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788														S				ssp: virginianus		49	-84							Canada	Ontario												
BROMB767-07	1B-1075	555878		1B-1075	Royal Ontario Museum		BOLD:AAC5854	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788														S				ssp: virginianus		49	-84							Canada	Ontario												
BROMB783-07	1B-1262	555894		1B-1262	Royal Ontario Museum		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758														S						44.28	-80.23							Canada	Ontario		Grey Co										
BROMB842-07	1B-705	555953		1B-705	Royal Ontario Museum		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758														S						49	-84							Canada	Ontario												
BROMB843-07	1B-706	555954		1B-706	Royal Ontario Museum		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758														S						49	-84							Canada	Ontario												
FBAVA001-14	Aves_BFB_Hawlitschek_2014-10-25_0001	5321402	Aves_BFB_Hawlitschek_2014-10-25_0001	Aves_BFB_Hawlitschek_2014-10-25_0001	SNSB, Zoologische Staatssammlung Muenchen		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo			Markus Unsoeld		Linnaeus, 1758			Feather									adult						1997										Germany	Bavaria	Eichstaett			2511518	http://www.boldsystems.org/pics/FBAVA/Aves_BFB_Hawlitschek_2014-10-25_0001+1420659660.jpg	life picture	wikipedia common source	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen	Jerome Moriniere
FBAVA002-14	Aves_BFB_Hawlitschek_2014-10-25_0002	5321403	Aves_BFB_Hawlitschek_2014-10-25_0002	Aves_BFB_Hawlitschek_2014-10-25_0002	SNSB, Zoologische Staatssammlung Muenchen		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo			Markus Unsoeld		Linnaeus, 1758			Feather									adult						1987															2511519	http://www.boldsystems.org/pics/FBAVA/Aves_BFB_Hawlitschek_2014-10-25_0002+1420659660.jpg	life picture	wikipedia common source	SNSB, Zoologische Staatssammlung Muenchen	2015	CreativeCommons - Attribution Non-Commercial Share-Alike	SNSB, Zoologische Staatssammlung Muenchen	
GBCHO14183-23	AF173620	19925013						18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788																												Unrecoverable													
GBIR0302-06	U83777	507635			Mined from GenBank, NCBI		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788																																									
GBIR10358-19	KX012871	9768748	NZG:BWP36452		Mined from GenBank, NCBI		BOLD:ADJ8681	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	114378	Bubo lacteus					Temminck, 1820																				-28.5536	24.7525	Coordinates from country centroid						South Africa													
