processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBIR10673-19	LC099107	9769377			Mined from GenBank, NCBI		BOLD:ADS0028	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni																																														
GBIR10992-19	NC_038219	9770006			Mined from GenBank, NCBI		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758																				38.0733	104.691	Coordinates from country centroid						China													
GBIR9178-19	GQ922629	9766380			Mined from GenBank, NCBI		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758																				32.28	104.52							China													
GBMNA18911-19	LC099101	9636419		LC099101	Mined from GenBank, NCBI		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni																																														
HCBR068-03	1B-2785	4256	1B-2785		Royal Ontario Museum		BOLD:AAC2219	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	34922	Bubo scandiacus					Linnaeus, 1758													U							44.7167	-75.5167							Canada	Ontario	Prescott											
KBARG065-07	MACN-Or-ct 1339	540451	MACN-Or 69606		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAC5855	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788					Imberti, Santiago								F					Magellanic Horned Owl		-51.617	-69.483							Argentina	Santa Cruz	Rio Gallegos	RN 3 (25 km from Rio Gallegos)	Paraje de Quier Aike									
KBBI005-07	KRIBB 159	594901		CGRB 159	Korea Research Institute of Bioscience and Biotechnology		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758													M						province submitted as:  Jeollabuk-do	35.5	126.53							South Korea	North Jeolla												
KPARG230-08	MACN-Or-ct 3340	884362	MACN-Or 71020		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAC5855	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788													F					Magellanic Horned Owl		-47.03	-67.25							Argentina	Santa Cruz			Fitzroy									
KPARG396-08	MACN-Or-ct 3766	884528	MACN-Or 71284		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAC5855	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788																		Magellanic Horned Owl	Suspected Female									Argentina	Chubut												
KPARG397-08	MACN-Or-ct 3767	884529	MACN-Or 71285		Museo Argentino de Ciencias Naturales, Bernardino Rivadavia		BOLD:AAC5855	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	9495	Bubo virginianus					Gmelin, 1788													M					Great Horned Owl										Argentina	Rio Negro			Crossroad to La Angostura, R 40 and 231, Parque N.									
MPBM009-17	Bird5	7525625	NMW 96993		Naturhistorisches Museum Wien		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo					Linnaeus, 1758																				46.73	15.6		0.02					Austria	Styria			Vogau									
TZBRD012-15	ISIS 44543	6219100	ISIS#44543	PM#22040	Metropolitan Toronto Zoo		BOLD:AAC3338	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	93205	Bubo bubo			Michael Dobrovetsky		Linnaeus, 1758												Adult		S				Eurasian Eagle Owl	Captive: 3 years old									Exception - Zoological Park													
YIO621-17	2015-0056	7564018	YIO-72312	2015-0056	Yamashina Institute for Ornithology		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Takema Saitoh														Juvenile	M	S						43.2744	145.466							Japan	Hokkaido-chiho												
YIO623-17	2015-0058	7564020	YIO-72352	2015-0058	Yamashina Institute for Ornithology		BOLD:AAF3336	18	Chordata	51	Aves	335	Strigiformes	1493	Strigidae			4876	Bubo	858900	Bubo blakistoni			Takema Saitoh															F	S						43.5815	144.845							Japan	Hokkaido-chiho												
